tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
976	MT	Genesis	2	16	>KL[	>KL	>KL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אכל		noH	-	-	0	0	0	0	nnn	nnn	first		0
3598	MT	Genesis	8	3	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
3634	MT	Genesis	8	5	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
3636	MT	Genesis	8	5	XSR[	XSWR	XSWR	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	חסור		noH	-	-	0	1	0	0	nnnn	nnnn	first	W	1
3676	MT	Genesis	8	7	JY>[	JYW>	JYW>	CCMM	CCMM	qal	infa		unknown	unknown	verb					nnnn	nnnn	יצוא		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
5668	MT	Genesis	12	9	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
5670	MT	Genesis	12	9	NS<[	NSW<	NSW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נסוע		noH	-	-	0	1	0	0	nnnn	nnnn	first	W	1
6883	MT	Genesis	15	13	JD<[	JD<	JD<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ידע		noH	-	-	0	0	0	0	nnn	nnn	first		0
8608	MT	Genesis	19	9	CPV[	CPWV	CPWV	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שפוט		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
9608	MT	Genesis	20	18	<YR[	<YR	<YR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	עצר		noH	-	-	0	0	0	0	nnn	nnn	first		0
13240	MT	Genesis	26	13	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
14142	MT	Genesis	27	30	JY>[	JY>	JY>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	יצא		noH	-	-	0	0	0	0	nnn	nnn	first		0
15851	MT	Genesis	30	16	FKR[	FKR	FKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
16650	MT	Genesis	31	15	>KL[	>KWL	>KWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אכול		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
16923	MT	Genesis	31	30	HLK[	HLK	HLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
20300	MT	Genesis	37	8	MLK[	MLK	MLK	CCC	CCC	qal	infa		unknown	unknown	verb				H	nnn	nnn	מלך		noH	-	-	0	1	0	0	nnn	nnn	first		0
20304	MT	Genesis	37	8	MCL[	MCWL	MCWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	משול		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
20789	MT	Genesis	37	33	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
23140	MT	Genesis	41	43	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נתון		noH	-	-	0	1	0	0	nnnn	nnnn	first	W	1
24234	MT	Genesis	43	7	C>L[	C>WL	C>WL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שאול		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
24262	MT	Genesis	43	7	JD<[	JDW<	JDW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				H	nnnn	nnnn	ידוע		noH	-	-	0	1	0	0	nnnn	nnnn	first	W	1
24545	MT	Genesis	43	20	JRD[	JRD	JRD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ירד		noH	-	-	0	0	0	0	nnn	nnn	first		0
25333	MT	Genesis	44	28	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
28706	MT	Genesis	50	24	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
28737	MT	Genesis	50	25	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
30009	MT	Exodus	3	16	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
35795	MT	Exodus	13	3	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
36168	MT	Exodus	13	19	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
37296	MT	Exodus	15	26	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
38830	MT	Exodus	18	18	NBL[	NBL	NBL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נבל		noH	-	-	0	0	0	0	nnn	nnn	first		0
39138	MT	Exodus	19	5	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
39329	MT	Exodus	19	13	SQL[	SQWL	SQWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	סקול		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
39711	MT	Exodus	20	8	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
40080	MT	Exodus	21	5	>MR[	>MR	>MR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
40309	MT	Exodus	21	20	NQM[	NQM	NQM	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נקם		noH	-	-	0	0	0	0	nnn	nnn	first		0
40337	MT	Exodus	21	22	<NC[	<NWC	<NWC	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ענוש		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
40424	MT	Exodus	21	28	SQL[	SQWL	SQWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	סקול		noH	-	-	0	0	0	0	nnnn	nnnn	first	W	1
40820	MT	Exodus	22	11	GNB[	GNB	GNB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	גנב		noH	-	-	0	0	0	0	nnn	nnn	first		0
40828	MT	Exodus	22	12	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
40874	MT	Exodus	22	15	MHR=[	MHR	MHR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	מהר		noH	-	-	0	0	0	0	nnn	nnn	first		0
40936	MT	Exodus	22	22	Y<Q[	Y<Q	Y<Q	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	צעק		noH	-	-	0	0	0	0	nnn	nnn	first		0
40939	MT	Exodus	22	22	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
40977	MT	Exodus	22	25	XBL[	XBL	XBL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	חבל		noH	-	-	0	0	0	0	nnn	nnn	first		0
41121	MT	Exodus	23	5	<ZB[	<ZB	<ZB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	עזב		noH	-	-	0	0	0	0	nnn	nnn	first		0
